national_absolute_potential_rank,area_id,postal_code,area_name,municipality_code,lat,lon,national_absolute_potential_score,estimated_switchers,population_final,estimated_commuters_base,jspi_score,recommended_campaign_type,recommendation_reason,data_confidence_level,commuting_data_source
55,00150,00150,Punavuori - Eira - Hernesaari,091,60.1500095302797,24.929255282234703,98.8,1020.0812285060266,9720.0,1895.6,91.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
56,00200,00200,Pohjois-Lauttasaari,091,60.160966970667566,24.86163255262553,98.7,1529.1332426322235,16169.0,3078.6,89.2,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
57,01400,01400,Rekola,092,60.33633290787048,25.079108117444953,98.7,947.1957885836258,9822.0,1557.85,88.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
58,02780,02780,Kauklahti,049,60.17883079404798,24.58172589385812,98.6,1223.4111189684988,14251.0,2489.8999999999996,86.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
59,01390,01390,Ruskeasanta-Ilola,092,60.32298758175966,25.01698504328754,98.6,955.5896818198265,9184.0,1640.4499999999998,88.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
60,02320,02320,Espoonlahti,049,60.14776871623004,24.637696604614877,98.5,1193.7715137350317,17639.0,2574.6,86.5,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
61,00560,00560,Toukola - Kumpula - Vanhakaupunki,091,60.212812876451544,24.992029620245372,98.5,1078.297464098178,13616.0,2390.1499999999996,89.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
62,00640,00640,Oulunkylä - Patola,091,60.233185369105485,24.957195557260942,98.5,935.7192076656498,8719.0,1455.6499999999999,92.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
63,40520,40520,Kuokkala-Ristikivi,179,62.2231394008795,25.772392368930575,98.4,1147.7800355842476,17689.0,2651.95,82.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
64,00580,00580,Kalasatama - Kyläsaari,091,60.194554749845395,24.979686769447383,98.4,965.8349882092213,8148.0,1702.05,91.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
65,00750,00750,Tapulikaupunki,091,60.2797395976605,25.03589210822129,98.2,905.4566856397265,9389.0,1421.0,91.0,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
66,02700,02700,Kauniainen,235,60.21579479628684,24.722990586221613,98.2,882.881379570221,10100.0,1533.6999999999998,78.0,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
67,70840,70840,Jynkänmäki,297,62.84584570988028,27.700031277338127,98.1,827.8658187869231,9446.0,1780.1,75.0,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
68,00170,00170,Kruununhaka,091,60.172758449278625,24.95637195027334,97.9,914.7825481358924,7385.0,1412.6,92.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
69,21200,21200,Raisio Keskus,680,60.482018425485606,22.14851880077641,97.9,892.6333699427204,13349.0,1940.3999999999999,77.6,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
70,33560,33560,Takahuhti,837,61.496605052524444,23.846896238474276,97.9,844.3162448097809,11038.0,1691.8999999999999,72.9,liityntäpysäköinti + joukkoliikenne,suuri henkilömääräinen potentiaali; korkea autoilupaine; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
71,60510,60510,Hyllykallio,743,62.80473768592866,22.88704785617206,97.9,817.0981019466607,9461.0,1704.5,66.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
72,20100,20100,Turku Keskus,853,60.429715926588386,22.16198093984354,97.8,2032.5268861932477,31156.0,5578.299999999999,81.0,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
73,00720,00720,Pukinmäki,091,60.246248869315785,24.989127816912102,97.7,872.2161026731046,9079.0,1363.9499999999998,91.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
74,70100,70100,Kuopio Keskus,297,62.871574910495696,27.70082162798854,97.7,741.489373570579,12729.0,1905.3999999999999,67.8,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
75,00120,00120,Punavuori - Bulevardi,091,60.16372986316543,24.938584537844307,97.6,894.0576725201715,7297.0,1392.6499999999999,92.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
76,00610,00610,Käpylä,091,60.211768210291396,24.956314972998026,97.6,881.0462682351341,7993.0,1394.3999999999999,92.1,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
77,00980,00980,Etelä-Vuosaari,091,60.19378807589995,25.147056116463762,97.5,1139.7715378849707,22693.0,3031.0,83.9,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
78,00430,00430,Maununneva - Kuninkaantammi,091,60.254120834103915,24.89636736956652,97.3,853.4981050379772,8691.0,1466.5,91.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
79,04400,04400,Loutti,186,60.46873041957637,25.06538459928701,97.1,863.2686406981514,11791.0,1841.35,77.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
80,00970,00970,Mellunmäki,091,60.2359100122385,25.114075559757694,97.1,838.115406575357,10777.0,1540.0,89.8,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
81,01200,01200,Hakunila,092,60.275371956219665,25.129581622705615,96.9,827.4073477991203,13100.0,1888.6,84.8,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
82,33820,33820,Koivistonkylä,837,61.46610626535882,23.799321631156978,96.9,803.2317786075176,9331.0,1536.1499999999999,73.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; korkea autoilupaine; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
83,65100,65100,Vaasa Keskus,905,63.09594035351186,21.612087859666904,96.8,1283.6513585359116,20467.0,3341.1,70.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; korkea autoilupaine; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
84,20610,20610,Varissuo,853,60.4464895363793,22.35026591803337,96.7,794.7271520548002,13848.0,1664.9499999999998,83.0,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
85,00270,00270,Pohjois-Meilahti,091,60.193909853396704,24.903060336242913,96.6,819.2418046501328,7220.0,1360.8,91.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
86,00630,00630,Maunula,091,60.23330995659234,24.927080505230624,96.5,798.5017912248423,8536.0,1304.1,91.1,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
87,04300,04300,Hyrylä,858,60.415675327055766,25.006648986118844,96.4,846.5846411002033,13889.0,2380.7,75.4,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
88,00790,00790,Viikki,091,60.21794674837911,25.019848456228793,96.3,800.2979775624071,10588.0,1708.0,88.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
89,01510,01510,Kirkonkylä-Veromäki,092,60.29295519152912,24.982353228063133,96.3,789.6157137214534,7870.0,1441.6499999999999,86.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
90,04430,04430,Kinnari-Mikonkorpi,186,60.46964793105262,25.12564728080515,96.2,805.5824053116914,9790.0,1702.3999999999999,77.0,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
91,01280,01280,Länsimäki,092,60.24822798564873,25.09360491652672,96.2,780.0444286494974,9979.0,1534.3999999999999,86.2,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
92,02620,02620,Karakallio,049,60.23403539724256,24.768099885915046,96.2,778.298082769161,8783.0,1374.4499999999998,88.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
93,01370,01370,Jokiniemi,092,60.2975113644894,25.061990635951684,95.8,770.4920644528579,7229.0,1247.75,88.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
94,00330,00330,Munkkiniemi,091,60.1956075451505,24.870366999704274,95.7,745.7450593835007,9280.0,1491.0,88.8,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
95,20300,20300,Pohjola-Kastu,853,60.464188626210095,22.252787635958786,95.6,750.3554148602473,7737.0,1365.35,84.8,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
96,00540,00540,Kalasatama - Sompasaari,091,60.181468047137116,24.97687482633053,95.2,752.454316956494,6450.0,1311.4499999999998,87.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
97,01520,01520,Tammisto,092,60.27671087784331,24.96425742099279,94.9,725.6785086973907,7688.0,1459.85,85.9,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
