underused_transit_potential_rank,area_id,postal_code,area_name,municipality_code,lat,lon,underused_transit_potential_score,car_pressure_score,public_transport_service_score,accessibility_score,travel_time_competitiveness_score_final,estimated_switchers,jspi_score,recommended_campaign_type,recommendation_reason,data_confidence_level,commuting_data_source
53,00220,00220,Jätkäsaari,091,60.15368001018816,24.918023091491243,94.6,0.9422309737033444,0.9221135097208992,0.9451231124767439,0.9313173508232371,1228.5150668287758,91.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
54,01400,01400,Rekola,092,60.33633290787048,25.079108117444953,94.6,0.8646639546652717,0.954363666886223,0.9918711434578423,0.9693666575148707,947.1957885836258,88.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
55,01340,01340,Leinelä,092,60.32385835728589,25.04084530256601,94.3,0.8847644434546986,0.9726835307782031,0.9950552289568733,0.9816322100496713,290.41787581436876,81.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
56,00310,00310,Kivihaka,091,60.21048535191427,24.90810554357316,94.2,0.9258672717487292,1.0,0.996780682352394,0.9987122729409577,111.5310812252605,76.6,asema- ja junakampanja,joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
57,02680,02680,Uusmäki,049,60.24079915820975,24.83255372709966,94.0,0.8924361290164446,0.9788898689935042,0.9421312593837295,0.9641864251495944,406.22082488857507,84.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
58,00150,00150,Punavuori - Eira - Hernesaari,091,60.1500095302797,24.929255282234703,93.9,0.9472000832157405,0.9019863379724484,0.9302257559317672,0.9132821051561759,1020.0812285060266,91.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
59,01610,01610,Kaivoksela,092,60.26353611207302,24.876656366767772,93.9,0.830035915743955,0.9926083285710676,0.9828747865718896,0.9887149117713965,628.9168605688236,85.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
60,01390,01390,Ruskeasanta-Ilola,092,60.32298758175966,25.01698504328754,93.8,0.864587406721846,0.9346048424762301,0.9736549124498092,0.9502248704656617,955.5896818198265,88.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
61,02750,02750,Sepänkylä-Kuurinniitty,049,60.20514544227364,24.72232449748586,93.8,0.8642290678349218,0.9556717946493096,0.9886422107628112,0.9688599610947103,622.3886403008523,85.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
62,00760,00760,Puistola - Heikinlaakso,091,60.2744047535367,25.058440704245925,93.7,0.937475650001334,0.9465764495826668,0.937601294998093,0.9429863877488373,684.3363144353262,89.0,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
